Company_Name,Rating,Review_Count,Industry,Headquarters
Xdbs,2.6,387,Marketing & Advertising,Pune
Tega Industries,3.6,387,Industrial Machinery,Kolkata
Hathi Cement,4.1,387,Building Material,Porbandar
AQuity Solutions India,3.7,387,IT Services & Consulting,Hyderabad
OneSource Specialty Pharma Limited,3.8,388,Pharma,Bengaluru
Bss Microfinance,3.8,387,Financial Services,Bengaluru
Rithwik Projects,3.9,386,Engineering & Construction,Hyderabad
SRMB SRIJAN,3.5,386,Iron & Steel,Kolkata
Berar Finance,3.6,386,NBFC,Nagpur
Apmosys Technologies,3.0,386,IT Services & Consulting,Mumbai
Campus Activewear,4.1,386,Fashion & Textile,New Delhi
WPP,2.9,384,Marketing & Advertising,Mumbai
Wagh Bakri Tea Group,4.2,384,Beverage,Ahmedabad
Awign Enterprises,3.6,384,Internet,Bengaluru
Srei Equipment Finance,4.2,384,Financial Services,Kolkata
Hyperpure,3.7,391,Internet,Gurugram
Heavy Engineering Industries & Shipbuilding,3.9,384,Engineering & Construction,Kuwait City
Glaze Trading India,4.3,383,Retail,New Delhi
Apcer Life Sciences,3.5,384,Pharma,Ahmedabad
SiliconIndia,2.7,383,Printing & Publishing,Bengaluru
QUADRANT TECHNOLOGIES INDIA PRIVATE LIMITED,3.7,383,IT Services & Consulting,Hyderabad
SOTC Travel Limited,4.4,383,Travel & Tourism,Mumbai
Pranav Vikas India Private Limited,3.8,383,Automobile,Faridabad
Endava,3.4,383,IT Services & Consulting,Bengaluru
Vaibhav Global,3.4,383,Jewellery,Jaipur
MCM Telecom Equipment,3.9,382,Electronics Manufacturing,Noida
Jawahar Navodaya Vidyalaya,4.4,382,Education & Training,New Delhi
Kirloskar Toyota Textile Machinery,4.5,383,Industrial Machinery,Bengaluru
K L University,3.8,382,Education & Training,Vijayawada
Data-Core Systems,2.9,382,IT Services & Consulting,Kolkata
INOX Air Products,4.1,382,Oil & Gas,Pune
Gufic Biosciences Limited,3.2,382,Pharma,Mumbai
Civica India,3.1,382,IT Services & Consulting,Vadodara
Pharmarack Technologies,3.6,382,Pharma,Pune
Andromeda Sales ans Distribution PVT LTD,3.2,382,Internet,Mumbai
Labournet Services,4.0,382,Non-Profit,Bengaluru
A-1 Fence Products,4.0,382,Building Material,Mumbai
SBI Payment Services,3.9,382,Financial Services,Mumbai
Captain Steel India Limited,3.7,382,Iron & Steel,Kolkata
Capital Small Finance Bank,3.5,381,Banking,Jalandhar
Foundit,3.2,381,Hyderabad +15 other locations,
Concord Biotech,3.8,381,Pharma,Ahmedabad
Dimension Data,4.5,380,IT Services & Consulting,Bengaluru
Sri Aurobindo Society,3.9,381,Non-Profit,New Delhi
doodleblue innovation,4.2,380,IT Services & Consulting,Chennai
RWS Group,3.6,380,IT Services & Consulting,Indore
Sunflag Iron and Steel,3.6,380,Iron & Steel,Bhandara
Ess Kay Fincorp,4.2,380,NBFC,Jaipur
Utkarsh India,3.6,380,Iron & Steel,Kolkata
Priya Cement,4.2,380,Building Material,Kurnool
KaaShiv InfoTech Company,4.8,379,EdTech,Chennai
TRL Krosaki Refractories,3.9,379,Metals & Mining,Jharsuguda
Choice Consultancy Services,3.6,379,Management Consulting,Mumbai
Adani Electricity,3.5,379,Power,Mumbai
Wildcraft,3.6,379,Fashion & Textile,Bengaluru
Uneecops Technologies,3.7,380,IT Services & Consulting,Noida
Satyam Venture Engineering Services,3.3,378,Auto Components,Hyderabad
Evolent Health International,3.9,378,Software Product,Pune
Vedant Fashions,4.0,379,Fashion & Textile,Kolkata
Sj Contracts,4.1,378,Engineering & Construction,Pune
T&M Services consulting,3.6,378,Recruitment,Mumbai
Hilex,3.8,378,Automobile,Chennai
Toshiba Transmission & Distribution Systems,3.8,378,Electrical Equipment,Hyderabad
Associated Road Carriers,4.1,378,Logistics,Hyderabad
PropTiger.com,3.8,378,Internet,Gurugram
Cashpor Micro Credit,3.6,378,NBFC,Varanasi
Hitachi Vantara,3.6,379,IT Services & Consulting,Hyderabad
Toshiba JSW Power Systems,4.3,377,Industrial Machinery,Chennai
Kokuyo Camlin,3.8,377,FMCG,Mumbai
Mahendra’s Institute,3.1,376,Education & Training,Lucknow
Emami Paper Mills,4.1,378,Pulp & Paper,Balasore
Hygienic Research Institute,3.8,377,Beauty & Personal Care,Mumbai
Aquasub Engineering,3.8,376,Industrial Machinery,Coimbatore
Amoli Organics,3.7,376,Pharma,Vadodara
TCG Lifesciences,4.1,376,Pharma,Kolkata
SEIL Energy India,4.0,376,Power,Nellore
TMF Group,3.7,375,Financial Services,Pune
Royal Orchid Hotels,4.0,375,Hospitality,Bengaluru
RedBus,4.1,375,Internet,Bengaluru
Subway,4.1,375,Hospitality,New Delhi
Parul University,3.2,375,Education & Training,Vadodara
Jaguar Security Services,4.5,376,Law Enforcement & Security,Bengaluru
Health India Tpa Services,3.2,375,Insurance,Mumbai
Light Microfinance,3.8,375,NBFC,Ahmedabad
Zebronics,4.0,375,Consumer Electronics & Appliances,Chennai
DCM Shriram Industries,4.1,375,Chemicals,Meerut
DCM Shriram Industries,4.1,375,Chemicals,Meerut
Actalent Services,3.6,374,Engineering & Construction,Bengaluru
Mitra SK,3.8,374,Other,Kolkata
Birla Cement,4.1,374,Building Material,Satna
Offshoot Agency,3.3,374,IT Services & Consulting,New Delhi
METRO Global Solutions Center,3.5,374,IT Services & Consulting,Pune
Karvy Innotech,2.9,374,IT Services & Consulting,New Delhi
Time Technoplast,3.6,374,Petrochemicals,Mumbai
Duroflex,3.9,374,Furniture & Furnishing,Bengaluru
Zara,3.5,375,Fashion & Textile,New Delhi
New Opportunity Consultancy,4.1,374,Recruitment,Coimbatore
Trident Hotels,4.0,374,Hospitality,Mumbai
Department of Agriculture,4.3,374,Agriculture,Bengaluru
Caparo Maruti,4.2,374,Auto Components,Gurugram
Seth M R Jaipuria School,3.5,374,Education & Training,Lucknow
Planetcast,3.6,374,Media & Entertainment,Noida
Lalitha Jewellery,4.0,373,Jewellery,Chennai
Mobiloitte Technologies,3.0,373,IT Services & Consulting,New Delhi
Xpheno,3.5,373,Recruitment,Bengaluru
N Ranga Rao And Sons,3.8,373,FMCG,Mysuru
Lalitha Jewellery,4.0,373,Jewellery,Chennai
Gujarat Alkalies & Chemicals,4.6,373,Chemicals,Bharuch
Universal Mep Projects & Engineering Services,3.7,373,Engineering & Construction,Mumbai
Moser Baer,3.9,372,Consumer Electronics & Appliances,Noida
Tribhovandas Bhimji Zaveri,3.9,373,Metals & Mining,Mumbai
Treebo Hotels,3.3,372,Hospitality,Bengaluru
TCI Supply Chain Solutions,4.0,372,Logistics,Gurugram
EXEDY,3.8,372,Auto Components,Bengaluru
VST Industries,3.8,372,FMCG,Hyderabad
GIVA Jewellery,3.0,372,Jewellery,Bengaluru
Johnson Controls Hitachi Air Conditioning,3.7,372,Consumer Electronics & Appliances,Ahmedabad
Yubi,4.2,375,FinTech,Chennai
ITSource Technologies,2.9,372,IT Services & Consulting,Mumbai
GTPL-KCBPL,4.0,371,Telecom,Kolkata
Descon Engineering,4.0,371,Engineering & Construction,Mumbai
Hyundai Engineering and Construction,4.3,371,Engineering & Construction,Chennai
Tata Digital,2.3,371,IT Services & Consulting,Mumbai
MSM Unify,4.0,371,EdTech,Gurugram
Halonix Technologies,3.7,371,Electrical Equipment,Noida
Toyota Financial Services,3.6,371,Financial Services,Bengaluru
Compunnel,3.8,371,IT Services & Consulting,Noida
Autocomp Corporation Panse,3.3,371,Auto Components,Pune
Balrampur Chini Mills Limited,4.1,371,Food Processing,Lucknow
Annexmed,3.9,370,Chennai +6 other locations,
R.K.M Powergen,3.8,372,Power,Raigarh
Harjai Computers,3.2,370,Recruitment,Mumbai
Enterprise Growth Accelerator,3.5,370,Analytics & KPO,Faridabad
Eaton India Innovation Center,3.7,370,Engineering & Construction,Pune
Hitachi Hi-Rel Power Electronics,3.7,370,Electronics Manufacturing,Ahmedabad
Borosil Glass Works,3.7,370,Packaging,Jaipur
Teachnook,2.8,370,EdTech,Bengaluru
Maxxis Rubber,3.5,369,Auto Components,Ahmedabad
Vini Cosmetics,4.0,369,Beauty & Personal Care,Mumbai
SMC Corporation,3.8,369,Medical Equipment,Noida
Ryan International School,3.2,369,Education & Training,Mumbai
Elevanceskills,4.4,409,Education & Training,Bengaluru
Worldline,3.6,370,FinTech,Mumbai
Ample Technologies,3.7,369,IT Services & Consulting,Bengaluru
Versuni India Home Solutions,3.4,369,Consumer Electronics & Appliances,Chennai
6D Technologies,2.8,369,Telecom,Bengaluru
McNROE,4.0,369,FMCG,Kolkata
JSW One Platforms,2.9,370,Internet,Mumbai
VGM Consultants,3.3,368,BPO,Kolkata
Lam Research,3.7,368,Semiconductors,Bengaluru
Lobo Staffing Solutions,4.1,368,Recruitment,Mumbai
Cedcoss Technologies,3.0,368,IT Services & Consulting,Lucknow
Technocon Services,3.3,368,Engineering & Construction,Kolkata
Ace Designers,4.0,368,Industrial Machinery,Bengaluru
Avineon India,4.0,368,IT Services & Consulting,Hyderabad
Al Tasnim Enterprises,3.5,368,Engineering & Construction,Muscat
NCCCL,3.4,367,Engineering & Construction,Bengaluru
Roquette Riddhi Siddhi,3.9,367,Pharma,Rudrapur
GGS Information Services,3.9,367,IT Services & Consulting,Chennai
Syncfusion,3.3,368,Software Product,Chennai
The Park Hotels,3.9,367,Hospitality,Kolkata
Pegasystems,3.4,367,Software Product,Hyderabad
Audi,3.7,367,Automobile,New Delhi
Woodenstreet.com,3.4,367,Furniture & Furnishing,Udaipur
Ben Franklin Opticians,3.9,366,Retail,Hyderabad
Trane Technologies,3.8,366,Industrial Machinery,Bengaluru
Advanced Micro Devices,3.7,366,Semiconductors,Hyderabad
Tata Toyo Radiator,,,Auto Components,Pune
Coditas Technologies,3.7,366,Emerging Technologies,Pune
Trane Technologies,3.8,366,Industrial Machinery,Bengaluru
Godrej Infotech,3.6,366,IT Services & Consulting,Mumbai
Protiviti India Member,2.7,367,Management Consulting,Gurugram
Council of Scientific and Industrial Research,4.2,366,Government,New Delhi
Suzuki,3.8,366,Automobile,Ahmedabad
Sequel Logistics,4.0,366,Logistics,Bengaluru
B S R & Co Llp,3.1,366,Accounting & Auditing,Mumbai
Carraro,3.9,366,Industrial Machinery,Pune
RV Solutions,3.8,366,IT Services & Consulting,Noida
Rio Tinto,3.5,365,Metals & Mining,Gurugram
HBL Global,4.2,365,NBFC,New Delhi
Groww,3.7,365,FinTech,Bengaluru
Aarti Drugs,3.5,365,Pharma,Mumbai
Transguard Group,3.8,365,Law Enforcement & Security,Dubai
MSP Steel & Power,3.7,365,Iron & Steel,Raigarh
Oil India,4.2,365,Oil & Gas,Duliajan
Yamaha Motor India Sales,4.1,365,Automobile,Chennai
Wipro GE Health Care,4.0,364,IT Services & Consulting,Bengaluru
Ssipl Lifestyle,4.1,364,Retail,New Delhi
Mitsubishi Electric Automotive India,4.5,365,Automobile,Gurugram
People Group,3.4,364,Internet,Mumbai
BLS International Services,3.3,364,Travel & Tourism,New Delhi
Padmini VNA Mechatronics,3.9,364,Auto Components,Gurugram
Red Tape,3.2,364,Fashion & Textile,New Delhi
Kalkine Solutions,4.3,364,Financial Services,Noida
Nabard Financial Services,4.1,363,NBFC,Bengaluru
Netcore Pvt. Ltd.,4.1,364,Marketing & Advertising,Mumbai
Yalamanchili Software Exports,2.9,363,Software Product,Chennai
Windlas Biotech,4.0,363,Pharma,Dehradun
Hindustan Syringes & Medical Devices,4.0,363,Medical Equipment,Faridabad
Asti Electronics India,4.1,363,Auto Components,Gurugram
CityMall,3.2,363,Internet,Gurugram
Zoomcar,3.6,363,Internet,Bengaluru
Deenanath Mangeshkar Hospital,3.7,363,Healthcare,Pune
Jay Chemical Industries,4.0,363,Chemicals,Ahmedabad
Udaan India - The Original Visa Company,4.3,362,Bengaluru +79 other locations,
DotPe,3.1,362,IT Services & Consulting,Gurugram
Bal Pharma,3.2,362,Pharma,Bengaluru
Prem Motors,3.7,362,Automobile,Gwalior
Stellar Innovations,3.4,362,IT Services & Consulting,Bengaluru
Cotmac Electronics,3.7,362,Industrial Automation,Pune
Zydex Industries,3.7,361,Chemicals,Vadodara
Yara Fertilisers,3.8,361,Agro Chemicals,Gurugram
Medall Healthcare,3.6,361,Healthcare,Chennai
Kraft Heinz,3.0,361,FMCG,Ahmedabad
Moder Solutions,3.4,361,IT Services & Consulting,Bengaluru
Vatika Group,4.1,362,Hospitality,Gurugram
ACB (India),3.8,361,Oil & Gas,Korba
Lido Learning,2.1,361,EdTech,Mumbai
Shaadi.com,3.4,360,Internet,Mumbai
MapmyIndia,3.5,361,Software Product,New Delhi
Muthoot Capital Services,3.6,360,Financial Services,Kochi
Adarsh Credit Co-Operative Society,4.3,360,Investment Banking / Venture Capital / Private Equity,Ahmedabad
Fidelis Technology Services,3.5,360,IT Services & Consulting,Bengaluru
Orchid Pharma,3.6,361,Pharma,Chennai
Network 18,3.4,360,Media & Entertainment,Mumbai
Rashtriya Chemicals and Fertilizers,4.4,360,Agro Chemicals,Mumbai
Ceat Specialty Tyres,3.8,360,Auto Components,Mumbai
AVL,3.5,360,Automobile,Gurugram
Hindustan Latex Family Planning Promotion Trust,4.2,360,Healthcare,Noida
Control Print,4.1,360,Industrial Machinery,Mumbai
UNext,3.0,360,EdTech,Bengaluru
Stefanini,2.7,360,IT Services & Consulting,Noida
Savista Global Solutions,4.1,360,Analytics & KPO,Chennai
EPIQ Systems,3.4,360,Legal,Hyderabad
Adglobal360,3.3,360,Gurugram +11 other locations,
Adient,3.9,360,Auto Components,Pune
Vascon Engineers,3.8,361,Real Estate,Pune
Sekisui Dljm Molding,3.9,360,Auto Components,Chennai
Jumio,3.9,360,Emerging Technologies,Jaipur
SOPAN,4.0,360,Industrial Machinery,Pune
Kpmg Resource Centre,3.5,365,Accounting & Auditing,Gurugram
Accel IT Services,3.5,359,IT Services & Consulting,Chennai
Escon Elevators,3.5,359,Industrial Machinery,Mumbai
Akumentis Healthcare,3.5,359,Healthcare,Mumbai
Vee Healthtek,3.8,359,BPO,Chennai
Satin Finserv,4.0,359,NBFC,Gurugram
Anaptyss,4.0,359,IT Services & Consulting,Noida
Vijay Nirman Company,3.7,358,Engineering & Construction,Hyderabad
Aegis Logistics,3.6,358,Oil & Gas,Mumbai
MUFG Bank,3.5,359,Banking,Bengaluru
Allegis Global Solutions,3.3,358,Recruitment,Bengaluru
TestingXperts,3.6,358,IT Services & Consulting,Chandigarh
Holcim,3.5,358,Building Material,Mumbai
Ventura Securities,4.1,358,Financial Services,Mumbai
Kimberly-Clark,3.9,358,Beauty & Personal Care,Bengaluru
Multiplier Brand Solutions,3.7,358,Marketing & Advertising,New Delhi
Paperchase Accountancy,2.9,359,Accounting & Auditing,Ahmedabad
Zf Wind Power,4.0,358,Coimbatore +8 other locations,
Avantor,3.6,358,Pharma,Coimbatore
DEN Networks,3.9,357,Broadcasting,New Delhi
L&T Defence,3.8,357,Defence & Aerospace,Pune
e-Zest,3.9,357,IT Services & Consulting,Pune
Shah Technical Consultants,3.6,357,Telecom,Mumbai
Festo,3.7,357,Industrial Automation,Bengaluru
Motilal Oswal Asset Management Company,4.3,357,Financial Services,Mumbai
Mahindra Insurance Brokers,3.3,356,Insurance,Mumbai
Infocepts Technologies,3.6,358,IT Services & Consulting,Nagpur
Sarvagram Fincare,3.9,359,NBFC,Pune
MYCPE ONE,3.8,357,Ahmedabad +24 other locations,
Bain & Company,3.7,356,Management Consulting,Gurugram
Cygnet Infotech,3.4,356,IT Services & Consulting,Ahmedabad
TMEIC,3.8,356,Industrial Automation,Bengaluru
Newt Global,4.3,356,IT Services & Consulting,Chennai
Oceaneering International,4.0,357,Engineering & Construction,Chandigarh
Clarus Rcm Infotech,2.7,356,BPO,Hyderabad
National Highways Authority of India,3.9,356,Engineering & Construction,New Delhi
Kushal's Fashion Jewellery,4.3,356,Jewellery,Bengaluru
NXP Semiconductors,3.5,356,Semiconductors,Bengaluru
Zee Laboratories,3.7,356,Pharma,Karnal
Schaeffer & Sam,3.3,355,Accounting & Auditing,Mumbai
Debtcare Enterprises,4.3,355,Investment Banking / Venture Capital / Private Equity,Hyderabad
Modern V.R. Security Force,4.0,355,Law Enforcement & Security,Mumbai
Satguru Travels and Tour Services,2.8,355,Travel & Tourism,Pune
Valvoline Cummins,4.0,355,Auto Components,Gurugram
Dentsu Aegis Network,3.2,355,Marketing & Advertising,Bengaluru
Aditya Birla Memorial Hospital,4.5,355,Healthcare,Pune
VIKRAN Engineering & Exim,4.1,355,Engineering & Construction,Mumbai
Globtier Infotech Limited,3.2,355,IT Services & Consulting,Noida
MJ Biopharm,3.4,354,Pharma,Pune
Clariant Chemicals,4.2,354,Chemicals,Mumbai
Can Fin Homes,2.7,354,NBFC,Bengaluru
Adama,4.1,354,Agro Chemicals,Hyderabad
MAHLE Behr India,3.6,354,Auto Components,Pune
Zuari Cement,4.3,355,Building Material,Y.S.R. Kadapa
Red Health,3.5,354,Healthcare,Hyderabad
Telstra,3.9,354,Telecom,Bengaluru
International Game Technology,3.3,354,Gaming,Gurugram
Kyndal India,3.6,354,Beverage,Bengaluru
Hical Technologies,3.6,354,Auto Components,Bengaluru
Park Plus,2.7,354,Internet,Gurugram
Fluper,3.8,353,IT Services & Consulting,Noida
Shiash Info Solutions,3.0,353,IT Services & Consulting,Chennai
Gupta Power Infrastructure,3.0,353,Power,Bhubaneswar
Inventys Research,4.3,353,Chemicals,Nagpur
Lion Engineering Consultants,3.3,353,Engineering & Construction,Bhopal
Polyhose,3.8,353,Industrial Machinery,Chennai
Cognizant Solutions Corp,3.7,353,IT Services & Consulting,Hyderabad
Theme Engineering Services,3.7,353,Engineering & Construction,Jaipur
Gyproc,3.9,353,Mumbai +40 other locations,
Pharmed,4.7,353,Pharma,Bengaluru
M K Agrotech Private Limited,4.5,353,Food Processing,Mysuru
Listenlights,3.8,353,Engineering & Construction,Mumbai
DSV - Global Transport and Logistics,3.7,353,Logistics,Mumbai
Hindustan Urvarak & Rasayan,3.3,356,Agro Chemicals,Gorakhpur
NU Vista,4.1,352,Building Material,Kolkata
Coding Ninjas,3.8,352,EdTech,Gurugram
Vem Technologies,3.6,353,Defence & Aerospace,Hyderabad
Ircon International,3.9,353,Engineering & Construction,New Delhi
Taco Bell,4.1,352,Hospitality,New Delhi
CESC,3.8,352,Power,Kolkata
Volvo Trucks,4.1,352,Automobile,Bengaluru
Bluechip Corporate Investment Centre,3.8,352,Accounting & Auditing,Mumbai
Mars,3.7,352,Food Processing,Gurugram
eMudhra,3.4,352,Software Product,Bengaluru
Synergies Castings,3.8,352,Auto Components,Visakhapatnam
Mahindra Teqo,4.0,352,Software Product,Mumbai
Irclass Systems And Solutions,4.2,351,Ports & Shipping,Mumbai
Unique Identification Authority of India,3.6,351,IT Services & Consulting,New Delhi
Sata Vikas India,3.6,351,Auto Components,Palwal
Indchemie Health Specialities,3.8,351,Pharma,Mumbai
Pitaara,4.1,350,Food Processing,Pune
Sri Sri Tattva,3.5,351,FMCG,Bengaluru
Zopper,3.1,350,FinTech,Noida
Halliburton,3.6,350,Engineering & Construction,Bengaluru
NIKE,3.9,350,Retail,Bengaluru
Aptean,3.0,351,Software Product,Bengaluru
Khimji Ramdas,3.8,350,Retail,Ahmedabad
CKA Birla Group,4.0,350,Building Material,Hyderabad
Sakthi Auto Components,3.2,350,Auto Components,Erode
AceMicromatic Group,4.3,349,Industrial Machinery,Bengaluru
Merit Data and Technology,3.8,349,Analytics & KPO,Chennai
ICRA Analytics,3.0,349,Analytics & KPO,Kolkata
KLJ GROUP,3.4,349,Petrochemicals,Bharuch
AVASOFT,2.5,350,Software Product,Chennai
Gtpl Broadband,3.9,349,Telecom,Ahmedabad
Aloha Technology,2.6,349,IT Services & Consulting,Pune
Recipharm Pharmaservices,3.8,349,Pharma,Bengaluru
Rainbow Childrens Hospital,3.8,349,Healthcare,Hyderabad
ATLBattery Technology (India) Private Limited,3.7,351,Electrical Equipment,Bawal
63 Moons Technologies,3.7,348,IT Services & Consulting,Mumbai
Aarti Steels,3.7,349,Iron & Steel,Cuttack
Zet Town,3.4,348,Electronics Manufacturing,Noida
Urban Ladder,3.7,348,Furniture & Furnishing,Bengaluru
Kalyani Motors,3.3,348,Automobile,Bengaluru
Praxis Services,3.3,348,Management Consulting,Gurugram
Rushil Decor,4.1,348,Building Material,Ahmedabad
L&T Valves,3.7,348,Industrial Machinery,Coimbatore
ESAB,4.0,348,Industrial Machinery,Chennai
Springer Nature in India,4.0,348,Printing & Publishing,Pune
Plasser India,4.0,348,Industrial Machinery,Vadodara
Somic ZF Components,4.2,348,Auto Components,Gurugram
Senvion,4.0,347,Power,Bengaluru
ShopKirana,3.9,347,Software Product,Indore
Jaypee Cement,4.0,348,Building Material,Rewa
Teleysia Networks,3.4,347,Telecom,Ahmedabad
CR3 Group,3.8,349,Facility Management Services,Jamnagar
o9 Solutions,3.4,347,Software Product,Bengaluru
Essilor,4.0,347,Medical Equipment,Bengaluru
Walplast Products Pvt Ltd,4.0,347,Building Material,Mumbai
Darwinbox,3.3,347,Software Product,Hyderabad
ADNOC,4.3,347,Oil & Gas,Abu Dhabi
Patil Group,3.6,347,Railways,Hyderabad
InfodriveIndia,4.0,346,Other,New Delhi
Arabian Industries,3.9,346,Oil & Gas,Chennai
Brawn Group,3.6,346,Pharma,Faridabad
Integrated Wireless Solutions,3.9,346,Telecom,Bengaluru
Jms Mining Services,3.9,346,Metals & Mining,Kolkata
EXO Edge,3.6,345,BPO,Sahibzada Ajit Singh Nagar
DISYS,3.1,345,IT Services & Consulting,Chennai
ESAF CO-OPERATIVE,3.5,346,Financial Services,Thrissur
EqualizeRCM Services,3.7,345,Analytics & KPO,Mysuru
Furukawa Minda Electric,4.0,345,Auto Components,Bawal
Path Infotech,3.3,345,IT Services & Consulting,Noida
Himadri Speciality Chemical Limited,3.5,345,Chemicals,Kolkata
Bristol-Myers Squibb,3.4,345,Pharma,Hyderabad
V2Solutions,3.4,345,IT Services & Consulting,Mumbai
V2Solutions,3.4,345,IT Services & Consulting,Mumbai
Awfis,4.4,356,Real Estate,New Delhi
Aurigene Pharmaceutical Services,4.0,345,Pharma,Hyderabad
Nava Limited,3.9,344,Metals & Mining,Hyderabad
Jasper Colin,3.5,345,Analytics & KPO,Noida
Aeronautical Development Agency,4.2,344,Defence & Aerospace,Bengaluru
SNVA Group,3.4,344,IT Services & Consulting,Noida
Signode,3.7,344,Industrial Machinery,Hyderabad
Global Aluminium,3.8,344,Metals & Mining,Hyderabad
Selec Controls,3.5,344,Electronics Manufacturing,Mumbai
Country Holidays Inn & Suites,4.2,343,Travel & Tourism,Noida
JUNIPER GREEN ENERGY,4.6,345,Power,Gurugram
Han Digital,2.7,343,Recruitment,Bengaluru
E-Solutions,3.4,343,Recruitment,Noida
Lucas Indian Service,4.1,344,Auto Components,Chennai
Silverlink Technologies,3.9,343,IT Services & Consulting,Mumbai
Entab Infotech,3.1,343,EdTech,New Delhi
Lloyd Insulations,3.4,343,Industrial Machinery,New Delhi
IIT Bombay,4.4,344,Education & Training,Mumbai
Kerala State Electricity Board,4.2,343,Power,Palakkad
Kerala State Electricity Board,4.2,343,Power,Palakkad
Technosoft Engineering Projects Limited,3.7,343,Industrial Automation,Mumbai
Gi Group,3.7,343,Recruitment,New Delhi
Hyundai Construction Equipment,4.2,342,Industrial Machinery,Pune
Maharashtra Hybrid Seed Company,4.1,342,Agriculture,Chhatrapati Sambhajinagar
"Ministry Of Health, New Delhi",3.9,342,Healthcare,New Delhi
Technicolor,3.5,342,Animation & VFX,Bengaluru
TP Central Odisha Distribution,3.7,342,Power,Bhubaneswar
Outpace Consulting Services,4.6,344,Lucknow +18 other locations,
Evelyn Learning Systems,3.9,342,EdTech,New Delhi
Banco Products,3.4,342,Auto Components,Vadodara
Groz Engineering Tools,4.2,342,Industrial Machinery,Gurugram
Shree Renuka Sugars,4.1,342,Food Processing,Belagavi
Futurense Technologies,3.9,343,EdTech,Bengaluru
RHI Magnesita,3.8,342,Building Material,Gurugram
Tumbledry Solutions,4.4,342,Other,Noida
Jtekt Sona Automotive India,4.3,342,Auto Components,Gurugram
Labcorp,4.0,342,Clinical Research,Bengaluru
Dinshaws,3.9,341,Food Processing,Nagpur
Softcell Technologies,3.7,341,IT Services & Consulting,Mumbai
Delhi Metro Rail Corporation,4.2,341,Logistics,New Delhi
Abbott Nutrition International,4.0,341,Pharma,Mumbai
Aabasoft,4.0,341,IT Services & Consulting,Kochi
Pricol Precision Products,3.9,341,Auto Components,Hosur
Hindustan Wellness,3.2,341,Healthcare,Gurugram
Minda Kosei Aluminum Wheel,4.1,340,Auto Components,Ahmedabad
L&T–MHI Power Boilers,4.1,341,Industrial Machinery,Surat
Cadence Design Systems,3.8,341,Semiconductors,Noida
Corizo,3.6,340,Education & Training,Bengaluru
Indus Valley Partners,2.9,340,IT Services & Consulting,Noida
Sahayog Multistate Credit Co-operative Society,3.5,340,Banking,Nagpur
Tamilnad Mercantile Bank,2.5,340,Banking,Chennai
Turing,3.0,340,Analytics & KPO,Bengaluru
Himedia Laboratories,4.1,340,Biotechnology,Mumbai
Mahindra Truck and Bus,3.6,340,Automobile,Pune
Nutricia,3.5,339,Fitness & Wellness,Mumbai
MNC Group,4.2,339,Investment Banking / Venture Capital / Private Equity,Bengaluru
Pfizer Products India,3.9,340,Pharma,Visakhapatnam
R&R Limousine And Bus,4.0,339,Chennai +11 other locations,
UCO Bank,3.7,339,Banking,Kolkata
GITAM University,3.6,339,Education & Training,Visakhapatnam
IIC Technologies,3.5,339,IT Services & Consulting,Hyderabad
Scaleneworks,3.6,339,Recruitment,Bengaluru
Veolia Water Technologies,4.2,339,Waste Management,Bengaluru
Machino Plastics,3.6,339,Auto Components,Gurugram
ILJIN ELECTRONICS,3.8,338,Semiconductors,Noida
Avanse Financial Services,3.7,338,Financial Services,Mumbai
Decimal Point Analytics,2.7,338,Analytics & KPO,Nashik
Sub-K IMPACT Solutions,4.1,338,Financial Services,Hyderabad
Vashi Integrated Solutions Limited,3.9,338,Industrial Machinery,Mumbai
Cohizon Life Sciences Limited,3.5,338,Chemicals,Ankleshwar
Holisol Logistics,3.8,338,Logistics,New Delhi
Savex Technologies,4.0,338,Other,Mumbai
Biz 2 Credit Info Services,3.4,337,Financial Services,Noida
Vasan Eye Care Hospitals,3.8,337,Healthcare,Bengaluru
DCDC Kidney Care,4.0,338,Healthcare,New Delhi
Cardinal Health,4.3,337,Pharma,Bengaluru
Indovance Inc,4.3,337,Design,Pune
Harsha Engineers,3.9,337,Auto Components,Ahmedabad
Inventia Healthcare,3.9,337,Pharma,Mumbai
Harsha Engineers,3.9,337,Auto Components,Ahmedabad
Oriental Aromatics,3.9,337,Chemicals,Vadodara
Girmiti Software,4.1,337,IT Services & Consulting,Bengaluru
Hitech Digital Solutions,3.7,337,IT Services & Consulting,Ahmedabad
Tata Play Fiber,3.9,336,Telecom,Mumbai
Renewsys India,3.8,337,Power,Hyderabad
IndusInd Securities,3.7,336,Financial Services,Mumbai
Global Calcium,3.4,336,Pharma,Hosur
Rajsriya Automotive Industries,3.2,336,Auto Components,Hosur
AAJ Supply Chain Management,4.0,336,Logistics,Sonipat
Opkey,4.6,336,Software Product,Noida
Jaiprakash Power Ventures,4.1,336,Power,Singrauli
Sphinx Worldbiz,3.5,336,Engineering & Construction,Pune
Louis Philippe,4.4,336,Fashion & Textile,Bengaluru
Luxor Writing Instruments,3.5,335,Other,Noida
MobileComm Technologies India,3.8,336,Telecom,Gurugram
Nitco,3.9,335,Building Material,Mumbai
Greentech Industries,3.7,335,Industrial Machinery,Nellore
Lincoln Pharmaceuticals,3.4,335,Pharma,Ahmedabad
Sundaram Motors,3.9,335,Automobile,Chennai
