Company_Name,Rating,Review_Count,Industry,Headquarters
ICICI Lombard General Insurance Company,3.5,6k,Insurance,Mumbai
Siemens,4.0,6k,Industrial Automation,Bengaluru
Firstsource Solutions,3.5,6k,BPO,Bengaluru
Apollo Hospitals,4.0,6k,Healthcare,Chennai
Aurobindo Pharma,4.0,6k,Pharma,Hyderabad
Shapoorji Pallonji Group,4.1,5.9k,Engineering & Construction,Mumbai
Tata Capital,4.0,5.9k,NBFC,Mumbai
Swiggy,3.7,5.9k,Internet,Bengaluru
UST,3.7,5.9k,IT Services & Consulting,Bengaluru
Standard Chartered,3.6,5.9k,Banking,Chennai
Mahindra Finance,3.8,5.9k,NBFC,Mumbai
Bosch Global Software Technologies,3.7,5.8k,IT Services & Consulting,Bengaluru
Udaan,3.9,5.8k,Internet,Bengaluru
Citicorp,3.6,5.7k,Financial Services,Pune
Ashok Leyland,4.0,5.7k,Automobile,Chennai
Hero MotoCorp,4.1,5.7k,Automobile,Gurugram
CGI Inc,4.0,5.6k,IT Services & Consulting,Bengaluru
Kalpataru Projects International,4.1,5.5k,Engineering & Construction,Mumbai
NTT DATA,3.8,5.5k,IT Services & Consulting,Bengaluru
SBI Cards & Payment Services,3.6,5.5k,Financial Services,Gurugram
Nagarjuna Construction Company,4.0,5.5k,Engineering & Construction,Hyderabad
IQVIA,3.7,5.5k,Clinical Research,Bengaluru
BNY,3.6,5.5k,Financial Services,Pune
Cyient,3.6,5.5k,IT Services & Consulting,Hyderabad
Schneider Electric,4.1,5.4k,Industrial Automation,Bengaluru
SBI Life Insurance Company,3.7,5.4k,Insurance,Mumbai
CBRE,4.1,5.3k,Real Estate,Hyderabad
JustDial,3.5,5.3k,Internet,Noida
TVS Motor,3.8,5.3k,Automobile,Hosur
Persistent Systems,3.6,5.3k,IT Services & Consulting,Pune
State Bank of India,3.9,5.3k,Banking,Mumbai
KEC International,4.0,5.2k,Engineering & Construction,Mumbai
ITC Infotech,3.8,5.2k,IT Services & Consulting,Bengaluru
Amdocs,3.6,5.1k,Software Product,Pune
Atos,3.8,5.1k,IT Services & Consulting,Pune
Utkarsh Small Finance Bank,3.6,5k,Banking,Varanasi
Varun Beverages,4.0,5k,Beverage,New Delhi
JBM Group,3.9,5k,Auto Components,Gurugram
vivo,4.0,5k,Consumer Electronics & Appliances,Noida
Lenskart,3.4,4.9k,Internet,New Delhi
Randstad,3.7,4.9k,Recruitment,Hyderabad
Ecom Express,4.1,4.9k,Logistics,Gurugram
Nagarro,3.9,4.9k,IT Services & Consulting,Gurugram
EY Global Delivery Services ( EY GDS),3.5,4.8k,IT Services & Consulting,Bengaluru
Hetero,3.9,4.8k,Pharma,Hyderabad
Intas Pharmaceuticals,4.1,4.8k,Pharma,Ahmedabad
Bosch,4.1,4.8k,Auto Components,Bengaluru
Havells,3.9,4.8k,Electrical Equipment,Noida
Eviden,3.6,4.8k,IT Services & Consulting,Pune
L&T Finance,3.9,4.8k,NBFC,Mumbai
Aditya Birla Fashion and Retail,4.1,4.8k,Fashion & Textile,Bengaluru
R1 RCM,3.8,4.8k,BPO,Hyderabad
Tata AIA Life Insurance,3.8,4.8k,Insurance,Mumbai
Hewlett Packard Enterprise,4.0,4.8k,IT Services & Consulting,Bengaluru
Cars24,3.5,4.7k,Internet,Gurugram
Mahindra Logistics,3.7,4.7k,Logistics,Mumbai
Berger Paints,3.7,4.7k,Chemicals,Kolkata
Deutsche Bank,3.8,4.6k,Banking,Pune
Dell,3.8,4.6k,Consumer Electronics & Appliances,Bengaluru
Home Credit Finance,4.0,4.6k,NBFC,Gurugram
Motilal Oswal Financial Services,3.6,4.6k,Financial Services,Mumbai
TeamLease Services,3.9,4.6k,Recruitment,Bengaluru
VE Commercial Vehicles,3.9,4.6k,Automobile,Indore
Hyundai Motor India Limited,4.1,4.5k,Automobile,Chennai
OPPO,3.9,4.5k,Consumer Electronics & Appliances,Greater Noida
Thermax Limited,4.2,4.5k,Industrial Machinery,Pune
Jubilant Foods Works,3.7,4.5k,Hospitality,Noida
Macleods Pharmaceuticals,3.7,4.4k,Pharma,Mumbai
Carelon Global Solutions,3.9,4.4k,IT Services & Consulting,Bengaluru
Jindal Steel Limited,3.9,4.4k,Iron & Steel,Angul
Hindalco Industries,4.2,4.4k,Metals & Mining,Sambalpur
Aakash Educational Services,3.2,4.4k,Education & Training,New Delhi
State Street Corporation,3.5,4.3k,Financial Services,Bengaluru
Bajaj Auto,3.8,4.3k,Automobile,Pune
LG Electronics,3.8,4.3k,Consumer Electronics & Appliances,Pune
DCB Bank,3.8,4.2k,Banking,Mumbai
HDFC ERGO General Insurance,3.9,4.2k,Insurance,Mumbai
RBL Bank,3.5,4.2k,Banking,Mumbai
Royal Enfield,4.2,4.2k,Automobile,Chennai
Kogta Financial India Limited,4.6,4.2k,NBFC,Jaipur
Cloudnine Hospital,4.5,4.2k,Healthcare,Bengaluru
John Deere,4.0,4.2k,Industrial Machinery,Pune
Publicis Sapient,3.2,4.1k,IT Services & Consulting,Bengaluru
Cummins,4.3,4.1k,Industrial Machinery,Pune
Tata Communications,3.8,4.1k,Telecom,Pune
Grasim Industries,4.0,4.1k,Building Material,Bharuch
Aditya Birla Sun Life Insurance,4.0,4.1k,Insurance,Mumbai
Pidilite Industries,4.2,4.1k,Chemicals,Mumbai
Alembic Pharmaceuticals,3.9,4.1k,Pharma,Vadodara
Bank of America,4.1,4.1k,Banking,Gurugram
Aditya Birla Capital,3.8,4k,NBFC,Mumbai
American Express,4.1,4k,Financial Services,Gurugram
Kyndryl,3.9,4k,IT Services & Consulting,Bengaluru
PNB MetLife,3.3,4k,Insurance,New Delhi
KPIT Technologies,2.8,4k,Software Product,Pune
Oyo Rooms,3.0,4k,Hospitality,Gurugram
Subros,3.7,4k,Auto Components,Noida
Escorts Kubota Limited,4.1,4k,Industrial Machinery,Faridabad
ADP Private Limited,3.8,4k,Software Product,Hyderabad
Blinkit,3.8,4k,Internet,Gurugram
JK Cement,4.0,4k,Building Material,New Delhi
Maersk,3.9,3.9k,Logistics,Chennai
PhonePe,4.0,3.9k,FinTech,Bengaluru
Viatris,4.1,3.9k,Pharma,Hyderabad
XpressBees,4.1,3.9k,Logistics,Pune
PVR INOX,3.9,3.9k,Media & Entertainment,New Delhi
Altruist Technologies,4.3,3.9k,BPO,Bengaluru
Birlasoft,3.4,3.9k,IT Services & Consulting,Pune
Synechron,3.4,3.9k,IT Services & Consulting,Pune
Glenmark Pharmaceuticals,3.8,3.9k,Pharma,Mumbai
Sodexo,4.0,3.9k,Hospitality,Mumbai
Kotak Mahindra Life Insurance Company,3.4,3.9k,Insurance,Mumbai
Bharat Electronics,4.2,3.8k,Electronics Manufacturing,Bengaluru
Reliance Communications,4.0,3.8k,Telecom,Mumbai
Dabur,3.8,3.8k,FMCG,New Delhi
UNO Minda,3.9,3.8k,Auto Components,Pune
Cogent E Services,3.1,3.8k,BPO,Noida
ArcelorMittal Nippon Steel India,4.1,3.8k,Iron & Steel,Surat
Godrej & Boyce Manufacturing,3.8,3.7k,Consumer Electronics & Appliances,Mumbai
Abbott,4.1,3.7k,Pharma,Mumbai
Aarti Industries,4.1,3.7k,Agro Chemicals,Bharuch
Ipca Laboratories,3.8,3.7k,Pharma,Mumbai
Samvardhana Motherson Group,3.7,3.7k,Auto Components,Noida
Reliance Digital,4.1,3.7k,Retail,Mumbai
MRF Tyres,3.6,3.7k,Auto Components,Chennai
IGT Solutions,3.1,3.7k,BPO,New Delhi
Reliance Projects & Property Management Services,4.0,3.7k,Other,Kolkata
Indian Oil Corporation,4.3,3.6k,Oil & Gas,New Delhi
Alkem Laboratories,3.9,3.6k,Pharma,Mumbai
"NTT DATA, Inc.",3.9,3.6k,IT Services & Consulting,Bengaluru
Honda Motorcycle & Scooter,4.1,3.6k,Automobile,Gurugram
Vishal Mega Mart,3.7,3.6k,Retail,New Delhi
Johnson Controls,3.6,3.6k,Industrial Automation,Pune
[24]7.ai,3.4,3.6k,Hospitality,Bengaluru
Barclays,3.7,3.6k,Banking,Pune
TVS Credit Services Ltd,4.1,3.6k,NBFC,Chennai
Hindustan Coca Cola Beverages,4.0,3.6k,Beverage,Bengaluru
DTDC Express,3.7,3.6k,Logistics,New Delhi
Bajaj General Insurance Limited,3.6,3.6k,Insurance,Pune
RSPL Group,4.0,3.5k,FMCG,Kanpur
ABB,4.0,3.5k,Industrial Machinery,Bengaluru
IndusInd Nippon Life Insurance,3.3,3.5k,Insurance,Mumbai
AGS Health,3.9,3.5k,Analytics & KPO,Chennai
UBS,3.8,3.5k,Financial Services,Pune
Sagility,3.9,3.5k,BPO,Bengaluru
Ceat Tyres,3.9,3.5k,Auto Components,Nagpur
NatWest Group,3.9,3.5k,Banking,Gurugram
Ford Motor,4.2,3.5k,Automobile,Chennai
Alstom Transportation,3.7,3.4k,Engineering & Construction,Bengaluru
Croma,3.8,3.4k,Retail,Mumbai
Niva Bupa Health Insurance Company,4.0,3.4k,Insurance,New Delhi
HARMAN,3.8,3.4k,Consumer Electronics & Appliances,Bengaluru
Conduent,3.4,3.4k,BPO,Bengaluru
InterGlobe Aviation,3.4,3.4k,Aviation,New Delhi
Tata Electronics,3.8,3.4k,Semiconductors,Hosur
Tata Technologies,3.4,3.4k,Automobile,Pune
Tata AIG,3.9,3.4k,Insurance,Mumbai
Tata AutoComp Systems,3.6,3.4k,Auto Components,Pune
Jindal Stainless,4.1,3.4k,Iron & Steel,Jajpur
Indian Air Force,4.6,3.4k,Defence & Aerospace,New Delhi
GeBBS Healthcare Solutions,3.8,3.4k,BPO,Mumbai
Canara HSBC Life Insurance,4.1,3.3k,Insurance,Gurugram
PepsiCo,4.0,3.3k,Food Processing,Hyderabad
UPL,4.1,3.3k,Agro Chemicals,Ankleshwar
Max Healthcare,4.0,3.3k,Healthcare,New Delhi
Mankind Pharma,3.8,3.3k,Pharma,New Delhi
Titan Company,4.2,3.3k,Retail,Bengaluru
Amazon Transportation Services,4.2,3.3k,Logistics,Hyderabad
Ambuja Cements,3.9,3.3k,Building Material,Ahmedabad
S&P Global,3.9,3.3k,Analytics & KPO,Hyderabad
Varroc Group,3.6,3.2k,Auto Components,Pune
Societe Generale Global Solution Centre,3.6,3.2k,IT Services & Consulting,Bengaluru
Quest Global,3.5,3.2k,IT Services & Consulting,Bengaluru
Dilip Buildcon,3.9,3.2k,Engineering & Construction,Bhopal
MSN Laboratories,3.6,3.2k,Pharma,Hyderabad
Allcargo Logistics,3.8,3.2k,Logistics,Mumbai
Ola Electric Mobility,3.3,3.2k,Automobile,Bengaluru
ESAF Small Finance Bank,3.6,3.2k,Banking,Thrissur
Walmart,3.5,3.2k,Retail,Bengaluru
IDFC FIRST Bharat,4.1,3.2k,Financial Services,Chennai
Afcons Infrastructure,4.2,3.2k,Engineering & Construction,Mumbai
DS Group,4.0,3.2k,FMCG,Noida
Torrent Pharmaceuticals,4.0,3.2k,Pharma,Ahmedabad
Zepto,3.6,3.2k,Internet,Bengaluru
Bharat Financial Inclusion,3.7,3.2k,Financial Services,Hyderabad
Marpu Foundation,4.9,3.1k,Non-Profit,Hyderabad
Suzlon Group,4.0,3.1k,Power,Pune
Tata Elxsi,3.4,3.1k,IT Services & Consulting,Bengaluru
Indus Towers,3.6,3.1k,Telecom,Gurugram
Zensar Technologies,3.6,3.1k,IT Services & Consulting,Pune
Eternal Limited,3.6,3.1k,Internet,Gurugram
HDFC Sales,3.9,3.1k,Financial Services,Mumbai
Square Yards,3.5,3.1k,Internet,Gurugram
Fujitsu,3.8,3.1k,IT Services & Consulting,Pune
VVDN Technologies,3.6,3.1k,IT Services & Consulting,Gurugram
I Process Services,3.8,3.1k,Recruitment,Mumbai
Yazaki,3.9,3.1k,Auto Components,Pune
IKS Health,3.5,3.1k,BPO,Mumbai
CMS IT Services,3.1,3k,IT Services & Consulting,Mumbai
ACC,3.9,3k,Building Material,Mumbai
Future Group,4.3,3k,Retail,Mumbai
Shree Cement,3.8,3k,Building Material,Beawar
Nokia,4.0,3k,Telecom,Bengaluru
Shoppers Stop,3.9,3k,Retail,Mumbai
Apollo Tyres,4.0,3k,Auto Components,Chennai
Physicswallah,3.6,3k,EdTech,Noida
Fiserv,2.7,3k,FinTech,Pune
Exl India,3.5,3k,Logistics,New Delhi
Britannia,4.0,2.9k,Hospitality,Pune
Foxconn,3.8,2.9k,Electronics Manufacturing,Chennai
Landmark Group,3.8,2.9k,Retail,Bengaluru
SRF,4.1,2.9k,Chemicals,Bharuch
Dalmia Bharat Cement,3.9,2.9k,Building Material,Guwahati
ZS,3.0,2.9k,Management Consulting,Pune
Kansai Nerolac Paints,3.8,2.9k,Chemicals,Mumbai
Star Health & Allied Insurance,3.5,2.9k,Insurance,Chennai
Nestlé,3.7,2.9k,FMCG,Gurugram
Blue Dart Express Ltd,3.9,2.9k,Logistics,Mumbai
Exide Industries,3.4,2.9k,Power,Kolkata
Shell,3.9,2.8k,Oil & Gas,Bengaluru
UnitedHealth,4.0,2.8k,Healthcare,Hyderabad
TVS Supply Chain Solutions,3.8,2.8k,Logistics,Chennai
Micro Labs,3.6,2.8k,Pharma,Bengaluru
KPMG Global Services,3.5,2.8k,Management Consulting,Bengaluru
Flex,3.9,2.8k,Electronics Manufacturing,Chennai
Gallagher,3.6,2.8k,Insurance,Bengaluru
Photon Interactive,4.0,2.8k,IT Services & Consulting,Chennai
Care Health Insurance,3.5,2.8k,Insurance,Gurugram
Tata Advanced Systems,3.7,2.8k,Defence & Aerospace,Bengaluru
Blue Star,4.0,2.8k,Consumer Electronics & Appliances,Mumbai
ElasticRun,3.6,2.8k,Logistics,Pune
KFintech,3.3,2.8k,Financial Services,Hyderabad
Movate,3.1,2.7k,IT Services & Consulting,Chennai
G4S,4.0,2.7k,Law Enforcement & Security,Gurugram
Sonalika Tractors,3.5,2.7k,Automobile,Hoshiarpur
Ajanta Pharma,3.9,2.7k,Pharma,Mumbai
Voltas,4.0,2.7k,Consumer Electronics & Appliances,Mumbai
Capita,3.5,2.7k,BPO,Pune
DBS Bank,3.7,2.7k,Banking,Hyderabad
Adani Power,3.8,2.7k,Power,Mundra
ACT Fibernet,3.8,2.7k,Telecom,Hyderabad
NoBroker,3.0,2.7k,Internet,Bengaluru
GAO Tek,4.4,2.7k,Electrical Equipment,New York
Himalaya Wellness,3.9,2.7k,Pharma,Bengaluru
IntouchCX,2.7,2.7k,BPO,Hyderabad
Whitehat jr,3.3,2.7k,EdTech,Mumbai
BlackBuck,3.7,2.7k,Internet,Bengaluru
Foundever,3.3,2.7k,BPO,Hyderabad
Fortis Healthcare,4.1,2.7k,Healthcare,New Delhi
Laurus Labs,4.3,2.7k,Pharma,Visakhapatnam
Domino's Pizza,3.9,2.7k,Hospitality,New Delhi
BT Group,3.8,2.7k,Telecom,Gurugram
JCB,3.8,2.6k,Industrial Machinery,Pune
V-Mart,4.0,2.6k,Retail,Gurugram
Adani Group,3.8,2.6k,Power,Ahmedabad
CorroHealth Infotech,3.5,2.6k,Analytics & KPO,Hyderabad
Alldigi Tech,3.8,2.6k,BPO,Chennai
Sahrudaya Healthcare (Medicover Hospitals),4.3,2.6k,Healthcare,Hyderabad
Northern Trust Operating Services,3.6,2.6k,Financial Services,Bengaluru
Sterlite Technologies,3.8,2.6k,Hardware & Networking,Chhatrapati Sambhajinagar
ICICI Securities,3.9,2.6k,Financial Services,Mumbai
Tractors and Farm Equipment,4.0,2.6k,Industrial Machinery,Chennai
TaskUs,2.9,2.6k,BPO,Indore
Bajaj Electricals,3.9,2.6k,Consumer Electronics & Appliances,Mumbai
Parle Agro,3.9,2.6k,Beverage,Mumbai
Emcure Pharmaceuticals,3.6,2.5k,Pharma,Pune
Biocon Limited,4.0,2.5k,Biotechnology,Bengaluru
Hero FinCorp,3.9,2.5k,NBFC,New Delhi
Cadila Pharmaceuticals,3.1,2.5k,Pharma,Ahmedabad
Planet Spark,3.8,2.5k,EdTech,Gurugram
